Case_ID,Region,Country,Pollutant_Type,Pollutant_Concentration_mg_kg,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Crop_Type,Farming_Practice,Nearby_Industry,Water_Source_Type,Soil_Texture,Soil_Organic_Matter_%,Disease_Type,Disease_Severity,Health_Symptoms,Age_Group_Affected,Gender_Most_Affected,Mitigation_Measure,Case_Resolved,Follow_Up_Required,year,Soil_pH_ss,Rainfall_mm_ss
100467,2,7,5,2632,8.34,28.3,93.3,302.9,3,1,2,0,0,2.04,2,2,0,1,1,0,1,1,2024,1.6089844066563928,0.8900740635494543
100468,3,3,3,1311,7.37,18.7,68.0,266.6,5,1,2,0,0,2.05,4,2,5,1,0,2,1,1,2024,0.7771591692381863,0.5751138603699424
100469,4,1,3,1562,7.59,27.5,20.9,3.6,1,0,0,3,3,3.89,3,2,2,2,2,4,0,0,2025,0.9658205632918,-1.7068292094981503
100470,4,7,1,2580,5.41,32.2,36.7,128.7,3,0,4,3,2,8.56,2,0,1,0,2,3,1,0,2023,-0.9036423414212825,-0.6213878481274341
100471,4,7,1,2027,4.88,25.0,22.2,192.4,2,2,3,0,0,6.79,2,2,4,1,2,1,1,1,2024,-1.3581447907322617,-0.06868908937991501
100472,1,2,4,321,5.66,23.9,89.0,397.3,3,1,1,2,3,0.93,4,1,1,2,0,4,1,0,2025,-0.689254393633085,1.7091441236085723
100473,1,1,3,2116,5.99,23.7,76.6,367.4,2,0,0,0,3,9.53,3,0,1,0,1,3,1,1,2024,-0.40626230255266416,1.4497140939923896
100474,5,8,1,1601,5.93,37.6,38.8,225.6,2,1,0,3,0,3.91,1,0,2,1,1,2,0,0,2025,-0.45771541002183197,0.2193736859798593
100475,5,3,1,1829,5.46,16.7,88.9,40.7,2,1,3,2,2,5.31,3,2,3,2,2,2,0,0,2023,-0.8607647518636432,-1.3849277346232214
100476,2,3,0,594,4.66,11.3,33.1,346.7,0,3,4,0,1,3.18,4,0,1,2,1,4,0,0,2024,-1.5468061847858752,1.270108688873494
100477,1,7,5,2654,6.83,25.3,63.5,206.7,0,2,4,2,3,7.71,3,2,2,2,2,4,1,0,2023,0.3140812020156796,0.05538614217565032
100478,2,4,3,770,5.91,41.3,91.0,357.0,4,1,0,3,0,4.48,1,2,5,2,0,3,0,0,2024,-0.4748664458448874,1.3594775619519786
100479,1,5,2,2177,6.41,27.4,35.4,236.5,0,3,0,1,1,2.27,4,2,4,1,2,4,1,1,2025,-0.0460905502684923,0.31394851282990577
100480,2,8,3,907,7.92,17.2,25.3,27.6,0,2,3,0,0,9.44,0,0,3,2,0,4,1,0,2025,1.2488126543722209,-1.4985910586356628
100481,2,8,3,1389,6.14,38.4,82.7,132.9,2,2,2,1,2,7.09,2,2,1,1,1,2,0,0,2024,-0.2776295338797461,-0.5849461717264987
100482,5,2,2,2149,7.12,15.3,85.7,215.6,5,3,2,4,0,3.18,2,2,0,2,2,2,0,1,2024,0.5627712214499888,0.13260778978715615
100483,2,1,4,1174,4.65,14.5,77.4,0.0,0,2,0,0,1,4.46,1,2,4,2,0,3,1,1,2024,-1.555381702697403,-1.7380649321275232
100484,0,4,2,1439,4.72,44.1,37.0,121.7,1,1,0,2,2,3.39,4,1,4,1,2,3,0,0,2023,-1.495353077316708,-0.6821239754623262
100485,1,6,1,628,4.51,35.5,92.5,89.7,4,2,4,1,2,6.8,2,1,0,0,2,2,0,0,2024,-1.6754389534587941,-0.9597748432789762
100486,3,6,1,2061,7.89,24.8,42.7,130.1,1,0,2,3,1,7.27,0,0,3,1,0,0,1,0,2023,1.223086100637637,-0.6092406226604556
100487,3,2,0,2289,5.23,23.0,87.6,322.7,1,3,3,1,2,9.86,4,0,5,0,0,2,0,0,2024,-1.0580016638287846,1.0618705380110067
100488,2,1,0,2093,6.07,30.7,69.6,31.4,2,0,3,0,3,5.67,0,0,0,2,0,1,1,0,2023,-0.33765815926044085,-1.4656200180824355
100489,0,1,2,1967,5.17,37.3,63.8,380.9,4,3,0,0,1,0.9,3,0,0,1,1,3,0,0,2023,-1.1094547712979523,1.5668480538525387
100490,1,5,0,728,6.91,20.4,73.6,303.6,4,1,4,4,0,1.47,3,0,5,1,0,4,1,1,2024,0.3826853453079028,0.896147676282944
100491,3,9,5,1411,6.54,22.9,90.0,331.0,1,2,3,4,0,7.12,4,2,0,2,2,4,1,1,2024,0.06539118258137035,1.1338862318509504
100492,1,8,5,1981,6.35,42.2,72.1,291.6,3,0,1,1,1,8.69,2,2,3,2,0,4,0,1,2023,-0.09754365773766015,0.7920286008517002
100493,5,8,0,757,7.73,16.8,45.9,134.2,4,0,1,0,3,9.8,4,1,3,0,0,3,1,1,2023,1.085877814053191,-0.5736666052214474
100494,3,8,3,2394,7.3,35.4,62.2,378.8,0,3,3,0,2,5.21,1,0,0,1,1,3,0,0,2023,0.7171305438574908,1.5486272156520715
100495,1,1,1,1054,5.15,37.5,75.1,153.7,4,0,0,3,3,0.74,3,2,1,1,0,4,0,1,2024,-1.1266058071210079,-0.4044731076456763
100496,3,3,4,2351,4.55,34.6,92.8,175.1,3,2,2,3,2,2.73,2,1,3,0,1,2,0,1,2025,-1.6411368818126824,-0.21879408979329154
100497,1,4,4,1955,7.77,29.1,92.5,20.7,4,0,3,3,2,5.3,2,0,1,0,1,2,0,1,2024,1.120179885699302,-1.5584595270086279
100498,4,6,1,1994,7.95,16.3,80.0,221.1,5,1,3,4,0,4.27,0,1,3,0,0,4,1,0,2023,1.2745392081068048,0.18032903269314288
100499,3,5,2,360,7.96,15.5,43.2,116.0,5,1,3,1,3,8.78,3,2,5,0,1,0,0,1,2023,1.2831147260183324,-0.731580536292167
100500,3,8,3,1870,7.69,18.8,66.9,228.7,3,3,0,0,0,8.41,0,1,3,0,0,0,0,1,2023,1.0515757424070795,0.2462711137995972
100501,5,5,4,2519,4.55,33.6,23.9,219.5,2,2,2,1,2,3.23,3,0,1,2,0,1,0,0,2023,-1.6411368818126824,0.16644648930231043
100502,4,9,4,841,5.91,31.7,45.1,293.1,3,2,3,2,3,4.34,2,1,1,2,1,1,1,1,2023,-0.4748664458448874,0.8050434852806057
100503,5,2,2,182,7.64,20.0,52.5,274.2,5,0,2,0,0,3.66,2,1,2,1,1,4,0,0,2024,1.0086981528494394,0.6410559414763964
100504,2,9,1,150,6.0,43.1,68.1,268.6,5,3,1,0,0,6.51,2,1,1,1,1,1,1,0,2024,-0.39768678464113644,0.592467039608483
100505,5,6,1,541,6.17,36.3,27.6,111.1,1,1,4,1,2,3.13,0,2,4,0,2,0,1,1,2023,-0.25190298014516216,-0.7740958254265916
100506,0,0,1,1195,8.42,12.4,58.9,71.7,1,0,4,0,0,9.72,0,2,3,2,2,3,1,0,2024,1.677588549948616,-1.1159534564258418
100507,5,9,5,306,6.11,35.8,72.8,169.1,1,0,1,2,3,3.79,2,1,1,0,0,4,0,1,2023,-0.30335608761432925,-0.2708536275089134
100508,2,7,0,1102,5.56,17.2,56.2,107.4,0,1,4,1,2,3.23,0,1,5,1,1,0,1,1,2025,-0.7750095727483645,-0.8061992070178916
100509,4,3,0,1830,8.37,31.1,25.8,30.2,1,0,4,0,3,9.54,1,1,1,0,0,3,0,1,2023,1.6347109603909757,-1.4760319256255598
100510,1,9,0,817,4.87,31.0,66.8,259.4,1,1,0,2,2,3.04,3,1,0,2,0,0,0,0,2024,-1.3667203086437894,0.5126424151111957
100511,1,1,3,36,8.36,18.8,70.7,282.7,0,2,2,1,3,6.3,3,2,0,2,0,2,1,1,2025,1.626135442479448,0.7148069532401942
100512,0,0,2,855,5.58,30.9,85.0,378.7,4,0,1,3,2,1.51,0,2,4,1,2,1,0,0,2024,-0.7578585369253082,1.547759556690144
100513,1,7,0,410,8.28,35.8,86.2,81.1,2,3,0,0,2,6.08,3,2,3,0,1,0,1,0,2024,1.5575312991872248,-1.034393514004701
100514,2,5,5,1940,7.22,24.3,21.2,233.2,5,1,4,0,0,2.9,3,0,2,2,2,3,1,1,2023,0.6485264005652674,0.2853157670863136
100515,5,0,5,1237,8.33,24.0,83.0,75.4,0,1,0,1,1,6.89,4,1,2,0,1,1,0,0,2024,1.6004088887448649,-1.0838500748345417
100516,4,6,2,2726,4.91,10.3,52.5,37.1,5,2,1,4,2,7.61,2,0,2,1,1,4,1,0,2024,-1.3324182369976778,-1.4161634572525947
100517,1,0,5,2539,6.24,19.1,52.6,289.4,5,1,4,0,2,0.59,3,1,0,2,2,3,1,1,2023,-0.19187435476446657,0.7729401036893051
100518,1,2,3,1638,6.95,32.3,38.2,285.6,3,0,1,1,2,1.37,0,1,4,1,0,3,1,0,2023,0.4169874169540145,0.7399690631360784
100519,3,1,2,544,8.01,35.9,21.0,99.4,5,1,1,1,0,2.54,1,0,3,1,2,0,1,1,2023,1.3259923155759719,-0.8756119239720541
100520,2,3,2,746,5.49,12.2,54.4,293.1,1,3,4,4,0,6.26,2,1,1,1,2,1,0,0,2024,-0.8350381981290593,0.8050434852806057
100521,4,0,2,1871,4.82,43.3,82.9,322.0,2,1,3,4,3,8.32,1,2,3,1,1,1,0,0,2024,-1.4095978982014288,1.0557969252775175
100522,2,2,0,2594,6.68,17.0,66.3,297.2,3,2,1,4,1,7.51,1,2,5,1,0,1,1,0,2025,0.1854484333427607,0.8406175027196137
100523,1,7,5,1435,4.77,23.0,89.1,233.8,3,1,3,4,0,5.61,3,1,3,0,2,4,1,0,2024,-1.4524754877590689,0.290521720857876
100524,4,4,2,738,5.97,41.3,70.0,315.0,1,3,2,1,1,4.82,2,2,5,2,1,0,1,0,2023,-0.42341333837572037,0.9950607979426254
100525,4,0,0,1762,5.49,34.7,52.1,177.0,4,1,4,0,3,6.67,1,2,3,0,0,0,0,0,2024,-0.8350381981290593,-0.2023085695166779
100526,5,1,3,2608,4.76,38.9,41.9,177.6,4,2,1,2,0,0.71,0,1,4,1,1,2,1,0,2024,-1.4610510056705965,-0.19710261574511576
100527,2,7,1,827,6.51,12.0,56.8,370.8,4,0,3,1,3,1.5,2,0,1,1,1,3,1,1,2024,0.039664628846786426,1.479214498697909
100528,0,4,5,2133,6.14,32.9,39.5,63.8,0,3,1,1,2,2.02,1,2,0,2,1,2,0,1,2023,-0.2776295338797461,-1.1844985144180775
100529,5,6,0,187,5.24,33.2,86.1,325.7,5,3,0,0,1,7.01,4,0,5,2,0,4,0,1,2025,-1.049426145917257,1.0879003068688176
100530,0,4,0,298,5.66,20.8,38.7,206.0,2,1,1,1,2,5.59,3,1,5,0,0,0,1,1,2025,-0.689254393633085,0.0493125294421612
100531,2,2,1,988,5.92,39.0,79.2,123.1,0,0,4,3,1,9.18,0,0,1,1,2,3,1,0,2023,-0.4662909279333597,-0.6699767499953478
100532,5,2,5,2662,5.81,22.4,57.9,376.4,4,3,1,4,0,8.83,3,0,0,0,2,3,1,0,2023,-0.5606216249601669,1.5278034005658223
100533,4,6,3,277,6.07,29.4,57.7,77.5,1,3,4,0,2,8.66,3,1,3,2,1,0,0,1,2024,-0.33765815926044085,-1.065629236634074
100534,4,0,0,1882,7.85,40.1,76.1,175.7,0,3,1,2,1,6.3,3,1,4,2,1,4,1,0,2023,1.1887840289915252,-0.21358813602172938
100535,0,1,1,422,7.19,16.3,72.0,91.8,5,0,1,0,3,1.62,3,0,4,1,0,3,0,0,2024,0.6227998468306843,-0.9415540050785086
100536,4,0,5,441,4.51,35.2,74.9,206.0,0,3,2,0,3,2.03,0,1,0,1,1,4,1,1,2024,-1.6754389534587941,0.0493125294421612
100537,4,5,3,229,4.58,15.8,86.8,96.6,4,1,1,3,3,3.87,4,0,3,0,1,3,1,1,2025,-1.6154103280780985,-0.8999063749060111
100538,1,8,4,286,5.39,28.2,65.6,98.1,0,1,1,4,3,1.05,4,0,5,1,1,4,1,0,2023,-0.9207933772443387,-0.8868914904771056
100539,1,4,1,1081,5.44,17.7,92.0,246.5,4,2,0,0,3,5.79,3,0,3,2,2,2,0,1,2023,-0.8779157876866986,0.40071440902260885
100540,0,3,2,1148,6.22,28.9,72.2,280.9,0,2,1,3,2,2.13,4,0,5,2,2,2,1,0,2024,-0.20902539058752279,0.6991890919255075
100541,1,2,1,1367,6.15,40.5,67.4,213.0,5,3,1,0,2,1.6,4,1,2,0,1,0,1,1,2023,-0.2690540159682176,0.11004865677705339
100542,4,2,0,1681,4.97,21.8,30.7,276.8,4,2,3,4,2,2.46,2,0,2,2,2,4,0,1,2024,-1.2809651295285107,0.6636150744864995
100543,2,4,3,1084,8.08,17.2,58.1,167.7,4,0,3,4,1,0.67,2,1,4,0,1,1,1,1,2023,1.3860209409566673,-0.2830008529758919
100544,2,0,4,2225,4.78,26.6,62.1,251.4,5,1,3,4,3,7.04,4,0,2,2,2,0,0,1,2025,-1.4438999698475403,0.44322969815703345
100545,2,2,3,691,4.54,35.3,60.2,334.4,1,1,2,3,0,8.3,4,0,5,2,2,4,1,0,2024,-1.6497123997242102,1.1633866365564691
100546,1,6,4,2365,6.44,21.7,79.4,180.5,0,0,4,2,0,2.24,2,1,5,0,2,4,0,1,2023,-0.020363996533908378,-0.1719405058492318
100547,0,0,0,2388,8.03,26.3,25.7,155.1,3,3,0,1,3,8.13,2,0,5,0,2,2,1,1,2024,1.3431433513990272,-0.3923258821786978
100548,4,4,1,2510,5.31,12.3,85.8,155.8,4,1,0,4,1,5.65,2,0,3,0,0,3,0,1,2024,-0.989397520536562,-0.3862522694452084
100549,0,3,4,2705,4.77,32.7,25.6,150.2,1,0,4,1,1,8.14,2,2,4,2,2,2,0,1,2024,-1.4524754877590689,-0.4348411713131224
100550,0,0,3,1200,8.49,29.6,44.1,88.0,4,1,3,0,1,3.83,4,1,0,1,0,1,0,1,2023,1.7376171753293115,-0.9745250456317357
100551,0,9,0,1028,4.77,22.9,54.8,289.1,5,2,3,3,1,6.74,3,2,2,2,2,0,1,0,2024,-1.4524754877590689,0.7703371268035244
100552,3,1,5,1965,4.53,17.6,69.6,193.6,0,3,4,3,2,0.55,0,2,5,1,0,1,0,1,2024,-1.658287917635738,-0.05827718183679074
100553,1,6,5,2253,7.59,29.2,25.0,306.6,2,1,1,3,0,6.05,0,2,2,1,0,0,1,0,2023,0.9658205632918,0.9221774451407548
100554,0,3,2,2183,7.51,38.1,58.9,56.1,0,2,1,4,1,6.88,3,2,2,0,0,1,0,0,2024,0.8972164199995767,-1.2513082544864589
100555,3,8,0,1736,7.47,15.9,34.6,356.2,3,3,1,0,2,7.62,3,1,3,0,0,3,0,1,2023,0.862914348353465,1.352536290256562
100556,4,3,2,2524,7.53,30.9,69.1,355.7,0,2,2,2,1,6.0,1,2,5,2,2,1,1,0,2024,0.9143674558226329,1.348197995446927
100557,5,0,5,1765,5.13,26.6,73.7,108.4,4,3,3,2,3,2.42,4,1,3,1,1,2,0,1,2024,-1.143756842944064,-0.7975226173986213
100558,5,0,4,856,5.47,17.5,51.9,363.1,5,1,3,4,3,5.32,3,1,2,1,2,0,0,1,2023,-0.8521892339521154,1.4124047586295276
100559,2,9,3,509,4.81,34.4,48.7,328.7,1,0,0,0,1,6.77,0,2,4,1,2,1,0,0,2024,-1.418173416112957,1.1139300757266286
100560,0,7,3,2234,5.59,34.2,39.8,375.6,3,1,2,0,0,6.55,2,1,4,0,0,3,1,1,2024,-0.7492830190137806,1.5208621288704065
100561,0,3,3,888,5.58,16.7,72.1,87.5,3,2,2,2,2,6.16,3,0,0,2,2,0,0,1,2023,-0.7578585369253082,-0.9788633404413709
100562,0,1,4,724,7.15,38.5,78.4,304.3,5,2,3,0,0,2.28,3,2,4,1,0,2,0,0,2024,0.5884977751845727,0.9022212890164331
100563,2,7,1,241,7.3,22.9,52.4,12.5,0,3,1,3,3,2.97,2,2,4,2,0,2,0,0,2023,0.7171305438574908,-1.6296075618866444
100564,2,7,2,85,8.02,18.5,61.8,15.6,4,3,3,1,1,6.84,2,0,1,2,2,4,0,0,2024,1.3345678334874995,-1.6027101340669065
100565,4,6,0,885,8.09,41.1,44.4,360.4,5,2,1,1,3,9.96,0,0,1,2,2,3,1,0,2024,1.3945964588681952,1.3889779666574973
100566,5,8,3,2312,7.88,18.7,63.3,26.9,5,1,4,4,2,1.4,1,1,5,2,0,1,1,1,2024,1.2145105827261091,-1.5046646713691518
100567,5,3,2,2785,5.81,36.2,80.5,343.2,2,2,3,4,1,9.98,0,1,2,1,0,0,1,1,2024,-0.5606216249601669,1.239740625206048
100568,5,8,1,657,4.66,24.4,29.8,9.0,4,3,2,0,2,3.92,0,0,0,1,0,3,0,1,2023,-1.5468061847858752,-1.6599756255540905
100569,4,4,5,2188,6.76,20.9,69.1,92.8,2,1,0,1,0,0.64,4,0,5,0,1,0,1,1,2024,0.254052576634984,-0.9328774154592383
100570,4,3,4,2131,6.99,36.7,22.9,334.8,1,2,1,4,1,6.39,4,0,1,2,1,1,1,1,2024,0.45128948860012613,1.1668572724041777
100571,3,4,0,1558,7.0,40.3,64.0,232.4,5,1,1,1,1,9.91,1,1,4,0,2,4,0,0,2025,0.45986500651165385,0.27837449539089754
100572,5,2,1,2101,6.27,34.8,49.2,91.6,2,1,0,4,0,6.17,0,0,5,2,1,2,1,1,2023,-0.1661478010298834,-0.9432893230023627
100573,5,4,3,2585,8.22,22.0,59.6,84.7,0,0,2,2,3,9.96,1,1,1,2,1,1,0,1,2024,1.5060781917180586,-1.0031577913753278
100574,1,4,0,2738,7.1,38.2,73.6,237.3,3,2,3,1,1,1.01,1,2,5,2,1,2,0,1,2025,0.5456201856269326,0.3208897845253221
100575,3,6,2,1248,7.2,33.7,48.0,376.7,2,1,3,1,2,2.09,1,1,3,1,1,3,1,1,2023,0.631375364742212,1.5304063774516035
100576,1,6,2,1368,7.26,34.4,68.6,110.1,3,1,0,4,1,1.98,1,0,5,2,2,0,1,0,2024,0.6828284722113791,-0.7827724150458619
100577,1,6,2,1774,6.9,16.3,72.9,182.1,1,2,2,4,0,6.84,0,0,0,2,1,1,0,1,2024,0.3741098273963751,-0.15805796245839934
100578,2,9,3,2347,5.18,10.7,78.4,243.9,3,2,3,4,3,7.15,3,0,5,2,1,1,0,0,2023,-1.1008792533864247,0.3781552760125061
100579,0,1,4,2349,7.71,43.6,60.2,195.4,3,2,1,3,1,4.32,1,1,3,2,2,0,1,1,2024,1.0687267782301348,-0.042659320522104076
100580,0,2,5,409,6.79,19.7,89.1,233.3,5,3,3,2,3,6.13,4,2,5,1,2,4,0,1,2024,0.2797791303695679,0.2861834260482408
100581,0,1,2,978,4.71,11.1,51.8,33.8,0,1,2,4,0,6.27,1,0,5,0,2,4,0,1,2023,-1.503928595228236,-1.444796202996187
100582,5,0,2,2462,8.03,33.1,35.8,345.2,5,1,2,1,1,8.92,3,0,3,0,1,1,0,1,2024,1.3431433513990272,1.2570938044445887
100583,5,8,0,536,7.45,20.0,80.2,398.9,0,2,4,0,2,0.79,2,0,3,1,2,1,0,1,2024,0.8457633125304096,1.7230266669994043
100584,1,0,3,2501,6.99,44.1,54.9,339.0,1,3,0,4,2,1.09,3,2,0,0,0,2,0,0,2023,0.45128948860012613,1.203298948805113
100585,1,4,3,920,4.77,44.1,81.3,341.0,5,3,0,0,2,9.41,2,2,4,1,2,2,0,1,2023,-1.4524754877590689,1.2206521280436535
100586,2,6,0,235,6.04,12.5,35.8,91.7,3,1,2,4,1,4.96,2,2,5,0,0,1,1,0,2023,-0.3633847129950248,-0.9424216640404356
100587,5,7,4,736,4.9,15.9,31.0,389.2,3,0,2,2,0,7.71,3,1,1,0,0,3,0,1,2023,-1.3409937549092055,1.6388637476924826
100588,1,2,4,2703,6.26,19.7,79.9,130.5,3,3,2,3,1,3.34,1,1,0,2,1,1,1,1,2023,-0.17472331894141113,-0.6057699868127474
100589,2,8,2,635,5.02,19.0,46.6,269.6,0,0,0,0,1,1.09,0,1,5,2,2,0,0,0,2024,-1.2380875399708713,0.6011436292277533
100590,4,2,0,573,7.74,15.1,45.7,345.9,2,3,2,3,0,1.97,2,2,2,1,2,4,0,0,2024,1.0944533319647187,1.2631674171780778
100591,2,6,3,226,6.44,20.6,62.3,321.5,4,2,4,2,3,1.8,0,0,4,2,1,2,1,0,2024,-0.020363996533908378,1.0514586304678823
100592,2,0,2,1611,6.52,15.0,66.8,109.5,2,0,0,1,1,5.13,2,2,2,0,2,3,0,1,2024,0.048240146758314145,-0.787978368817424
100593,3,5,4,225,6.34,20.7,81.7,22.8,2,3,0,0,3,4.48,2,1,2,1,1,1,1,1,2024,-0.10611917564918787,-1.54023868880816
100594,5,7,1,1258,7.4,30.1,70.0,310.8,4,1,2,4,3,8.69,4,1,1,2,2,3,0,0,2025,0.8028857229727703,0.9586191215416902
100595,2,0,2,857,6.65,39.4,94.2,355.8,4,1,3,4,2,4.03,2,0,5,2,2,2,1,1,2023,0.15972187960817755,1.3490656544088542
100596,1,7,4,531,6.46,36.0,56.9,193.3,0,3,2,2,0,8.46,2,2,3,1,0,3,1,1,2023,-0.003212960710852938,-0.06088015872257168
100597,2,2,5,999,7.94,24.2,44.6,181.6,2,1,3,3,0,7.74,1,1,2,1,0,0,0,0,2024,1.265963690195277,-0.1623962572680345
100598,0,5,3,341,5.29,43.3,33.2,227.1,0,2,0,4,2,6.0,0,0,2,1,0,3,1,1,2024,-1.0065485563596175,0.23238857040876476
100599,0,3,1,1337,7.08,18.0,61.4,148.9,3,0,1,1,1,6.79,1,2,1,0,2,2,0,1,2024,0.5284691498038772,-0.44612073781817363
100600,1,9,4,376,6.78,16.5,40.9,87.5,4,2,0,4,3,2.24,2,0,5,2,0,3,1,0,2023,0.2712036124580402,-0.9788633404413709
100601,2,4,2,2314,5.64,42.4,92.7,228.5,2,1,0,2,2,1.86,3,2,5,1,1,2,0,0,2023,-0.7064054294561412,0.24453579587574323
100602,4,6,1,1034,7.69,22.9,26.5,222.7,5,1,1,3,2,8.53,4,2,1,1,0,2,0,1,2024,1.0515757424070795,0.19421157608397532
100603,1,7,1,2233,5.2,33.5,36.5,87.3,4,2,3,4,1,8.8,1,1,3,1,1,0,1,0,2023,-1.0837282175633685,-0.980598658365225
100604,0,6,4,681,5.55,10.0,85.3,317.0,1,2,4,4,0,6.46,4,0,5,0,0,1,1,0,2023,-0.7835850906598922,1.012413977181166
100605,0,5,2,2083,5.11,26.0,46.3,37.5,1,3,4,1,3,5.12,0,2,0,1,1,3,0,0,2024,-1.1609078787671194,-1.4126928214048866
100606,4,5,3,2565,4.66,20.2,35.6,95.3,4,1,1,2,2,9.13,3,1,5,0,1,1,1,0,2024,-1.5468061847858752,-0.9111859414110625
100607,1,0,0,1280,6.37,36.6,31.6,194.9,5,2,4,4,3,4.58,4,2,3,2,0,2,1,0,2023,-0.08039262191460395,-0.04699761533173923
100608,0,0,0,1660,8.5,36.9,49.8,331.0,0,0,4,3,1,2.12,1,0,2,1,2,0,0,0,2023,1.7461926932408391,1.1338862318509504
100609,3,5,5,76,5.32,21.9,58.3,246.1,1,2,3,2,2,9.15,2,0,4,2,1,0,0,0,2024,-0.9808220026250336,0.3972437731749007
100610,1,4,2,1397,6.51,11.8,22.6,220.5,2,1,1,2,1,4.66,2,0,0,2,2,3,1,1,2024,0.039664628846786426,0.17512307892158074
100611,3,1,3,2352,5.14,10.9,53.7,95.0,4,2,2,0,1,0.97,1,1,5,0,1,1,0,1,2024,-1.1351813250325364,-0.9137889182968436
100612,2,7,4,2014,4.95,31.3,41.1,69.4,5,1,2,2,2,4.11,0,0,1,1,0,2,0,1,2023,-1.298116165351566,-1.1359096125501635
100613,4,2,1,2245,6.07,36.3,29.4,309.1,4,3,4,2,1,2.75,0,2,2,2,1,1,1,0,2024,-0.33765815926044085,0.9438689191889307
100614,1,3,5,1885,6.76,42.5,49.0,26.5,0,3,0,2,1,0.68,0,2,0,2,2,1,0,0,2024,0.254052576634984,-1.50813530721686
100615,5,2,3,2316,6.6,37.1,37.6,138.0,5,3,1,0,0,0.79,4,2,5,2,2,3,1,0,2024,0.11684429005053742,-0.5406955646682201
100616,5,2,5,2688,7.17,42.7,39.9,244.6,4,3,1,1,2,6.95,4,0,1,2,1,3,0,0,2023,0.6056488110076281,0.38422888874599526
100617,1,7,5,865,7.89,43.2,86.4,295.6,5,2,2,1,1,3.14,1,1,3,0,2,4,1,0,2023,1.223086100637637,0.8267349593287815
100618,2,6,2,769,8.35,10.4,73.7,282.5,4,2,4,3,3,6.42,1,2,3,2,0,0,1,0,2024,1.6175599245679204,0.7130716353163401
100619,5,6,0,2762,5.75,21.9,25.9,177.1,0,0,4,0,2,2.98,4,0,3,0,1,2,1,1,2023,-0.612074732429334,-0.2014409105547509
100620,0,0,0,950,7.84,42.7,33.9,149.0,4,2,3,0,0,9.32,3,2,0,0,2,3,0,0,2024,1.1802085110799976,-0.44525307885624665
100621,4,8,2,164,4.87,15.7,64.6,60.2,1,3,2,2,2,9.7,2,1,1,2,0,4,1,1,2024,-1.3667203086437894,-1.2157342370474502
100622,4,7,3,1225,6.51,18.6,55.3,264.8,2,1,3,0,0,7.64,2,1,3,2,2,0,1,1,2025,0.039664628846786426,0.5594959990552557
100623,0,0,5,2092,6.81,41.7,81.3,302.8,5,1,1,0,1,1.03,0,2,5,0,1,4,0,0,2025,0.29693016619262336,0.8892064045875276
100624,5,0,1,16,5.35,33.2,50.8,161.0,5,0,0,1,1,8.9,4,1,3,0,0,4,0,0,2023,-0.9550954488904504,-0.3411340034250029
100625,2,8,5,2494,8.14,21.0,71.8,108.7,1,3,4,4,0,2.31,2,2,3,2,2,0,1,0,2023,1.4374740484258353,-0.7949196405128403
100626,3,3,2,501,5.87,25.0,82.3,48.0,2,2,2,2,1,7.48,0,1,5,2,1,0,0,1,2025,-0.5091685174909991,-1.3215886304025484
100627,5,0,3,1454,5.65,27.2,42.5,238.4,5,2,1,1,2,4.62,0,2,1,2,1,2,0,1,2024,-0.6978299115446127,0.33043403310651936
100628,4,2,0,438,4.97,29.1,87.7,137.6,4,3,0,1,0,7.46,0,1,5,0,1,2,0,1,2023,-1.2809651295285107,-0.5441662005159282
100629,4,1,5,1833,8.23,38.7,62.5,262.8,0,2,0,1,2,9.03,3,0,3,2,0,4,1,0,2023,1.5146537096295862,0.5421428198167151
100630,2,3,1,1111,5.81,10.4,82.0,320.4,0,3,0,4,2,1.49,1,1,4,1,2,3,1,1,2023,-0.5606216249601669,1.0419143818866847
100631,4,9,0,1600,6.36,14.2,93.5,85.9,1,1,4,2,2,1.14,1,1,2,0,2,1,0,0,2023,-0.08896813982613166,-0.9927458838322034
100632,2,2,1,1652,7.46,11.1,69.4,212.9,0,3,1,4,2,1.48,1,1,1,1,0,4,1,1,2023,0.8543388304419374,0.10918099781512641
100633,1,0,1,469,6.77,20.4,90.4,327.5,2,3,4,0,1,9.84,3,1,2,1,1,2,0,1,2024,0.2626280945465117,1.1035181681835042
100634,1,2,4,711,8.38,25.1,46.1,20.1,0,2,4,1,3,1.0,0,1,1,2,2,1,0,1,2024,1.6432864783025052,-1.56366548078019
100635,2,1,5,1914,6.33,17.9,66.0,101.1,4,3,4,0,2,5.99,0,0,1,2,1,2,0,1,2024,-0.11469469356071559,-0.8608617216192948
100636,5,1,2,993,7.79,38.7,55.8,140.3,1,1,2,0,1,3.94,3,2,3,0,0,0,1,1,2023,1.1373309215223582,-0.5207394085438983
100637,2,0,3,2255,5.81,17.3,26.4,186.7,1,2,4,1,0,5.08,3,1,1,1,2,0,0,0,2024,-0.5606216249601669,-0.11814565020975594
100638,5,8,2,2358,5.38,23.3,80.6,329.4,3,0,0,3,0,4.15,3,2,0,2,1,1,0,1,2023,-0.9293688951558665,1.1200036884601177
100639,3,2,1,1262,5.71,42.6,28.9,373.5,2,2,1,2,3,7.0,3,2,5,2,0,0,1,1,2024,-0.6463768040754456,1.5026412906699387
